"ΟΝΟΜΑΣΙΑ ΦΟΡΕΑ - ΥΠΗΡΕΣΙΑΣ","ΕΠΟΠΤΕΥΟΝ ΥΠΟΥΡΓΕΙΟ","ΝΟΜΙΚΗ ΜΟΡΦΗ - ΕΙΔΟΣ ΥΠΗΡΕΣΙΑΣ","ΤΟΜΕΙΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΑΓΩΓΗ ΣΤΟ ΔΗΜΟΣΙΟ ΤΟΜΕΑ","ΛΟΙΠΕΣ ΠΛΗΡΟΦΟΡΙΕΣ",﻿"URL","FRAMEWORKS","SERVER","CDN","SSL","COPYRIGHT"
"ΕΤΑΙΡΙΑ ΑΚΙΝΗΤΩΝ ΔΗΜΟΣΙΟΥ","ΤΟΥΡΙΣΜΟΥ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","","ΕΚΤΟΣ","ΥΠΑΓΕΤΑΙ ΣΤΗΝ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΕΙΑ ΣΥΜΜΕΤΟΧΩΝ ΚΑΙ ΠΕΡΙΟΥΣΙΑΣ ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΤΟ ΥΠ. ΟΙΚΟΝΟΜΙΚΩΝ","https://www.etasa.gr","ASP.NET/","IIS 7/IIS/IIS 8/","N/A","yes","Rackspace","Copyright Year 2011"
"ΕΤΑΙΡΙΑ ΑΚΙΝΗΤΩΝ ΔΗΜΟΣΙΟΥ","ΟΙΚΟΝΟΜΙΚΩΝ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","","ΕΚΤΟΣ","ΥΠΑΓΕΤΑΙ ΣΤΗΝ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΕΙΑ ΣΥΜΜΕΤΟΧΩΝ ΚΑΙ ΠΕΡΙΟΥΣΙΑΣ ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΤΟ ΥΠ. ΤΟΥΡΙΣΜΟΥ","https://www.etasa.gr","ASP.NET/","IIS 7/IIS/IIS 8/","N/A","yes","Rackspace","Copyright Year 2011"
"ΕΥΡΩΠΑΪΚΟ ΙΔΡΥΜΑ ΠΡΟΑΓΩΓΗΣ ΤΗΣ ΑΝΘΡΩΠΙΣΤΙΚΗΣ ΠΑΙΔΕΙΑΣ","ΕΞΩΤΕΡΙΚΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","","ΕΚΤΟΣ","ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΥΠΟΙΚ&Α & ΥΠΠΕ&Θ","noWebsite","","","","","",""
"ΕΥΡΩΠΑΪΚΟ ΚΕΝΤΡΟ ΒΥΖΑΝΤΙΝΩΝ ΚΑΙ ΜΕΤΑΒΥΖΑΝΤΙΝΩΝ ΜΝΗΜΕΙΩΝ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","www.ekbmm.gr","","Apache/","yes","N/A","self hosted","Copyright Year 2010"
"ΕΥΡΩΠΑΪΚΟ ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ ΔΕΛΦΩΝ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://www.eccd.gr","Java Servlet/J2EE/","Apache Tomcat Coyote/Apache/JBoss/","yes","yes","Dedicated Hosting","Copyright Year 2016"
"ΕΦΟΡΕΙΑ ΕΝΑΛΙΩΝ ΑΡΧΑΙΟΤΗΤΩΝ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΕΙΔΙΚΕΣ ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://www.culture.gr","ASP.NET Ajax/Microsoft Office SharePoint/ASP.NET/ASP.NET 4.0/","Apache/Oracle Application Server/Oracle HTTP Server/IIS/IIS 7/","yes","yes","Dedicated Hosting","N/A"
"ΕΦΟΡΕΙΑ ΠΑΛΑΙΑΝΘΡΩΠΟΛΟΓΙΑΣ - ΣΠΗΛΑΙΟΛΟΓΙΑΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΕΙΔΙΚΕΣ ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://www.culture.gr","ASP.NET Ajax/Microsoft Office SharePoint/ASP.NET/ASP.NET 4.0/","Apache/Oracle Application Server/Oracle HTTP Server/IIS/IIS 7/","yes","yes","Dedicated Hosting","N/A"
"ΕΦΟΡΕΙΕΣ ΑΡΧΑΙΟΤΗΤΩΝ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","www.culture.gr","ASP.NET Ajax/Microsoft Office SharePoint/ASP.NET/ASP.NET 4.0/","Apache/Oracle Application Server/Oracle HTTP Server/IIS/IIS 7/","yes","yes","Dedicated Hosting","N/A"
"ΗΛΕΚΤΡΟΜΗΧΑΝΙΚΗ ΚΥΜΗΣ ΕΠΕ","ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","","ΕΝΤΟΣ","ΘΥΓΑΤΡΙΚΗ ΤΗΣ ΕΣΠΠΠ ΑΒΕΕ","noWebsite","","","","","",""
"ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΑΚΥΒΕΡΝΗΣΗ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","","ΕΝΤΟΣ","","www.idika.gr","PHP/","Apache 2.2/Apache/","N/A","N/A","self hosted","Copyright Year 2012"
"ΘΕΜΙΣ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ","ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΥΠΟΔΟΜΩΝ","ΕΝΤΟΣ","","www.themis.com.gr","","","N/A","yes","Unified Layer","N/A"
"ΘΕΡΑΠΕΥΤΗΡΙΟ ΧΡΟΝΙΩΝ ΠΑΘΗΣΕΩΝ ΕΥΡΥΤΑΝΙΑΣ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΡΟΝΟΙΑΣ","ΕΝΤΟΣ","","https://thevrytanias.gr","J2EE/","","N/A","yes","ServerCental","N/A"
"ΘΥΓΑΤΡΙΚΕΣ ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ ΤΡΑΠΕΖΩΝ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΕΜΠΟΡΙΟΥ","ΕΚΤΟΣ","","noWebsite","","","","","",""
"ΙΑΤΡΟΔΙΚΑΣΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΔΙΚΑΙΟΣΥΝΗΣ ΔΙΑΦΑΝΕΙΑΣ ΚΑΙ ΑΝΘΡΩΠΙΝΩΝ ΔΙΚΑΙΩΜΑΤΩΝ ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","www.ministryofjustice.gr","ASP.NET/","IIS/IIS 7/","N/A","N/A","self hosted","N/A"
"ΙΔΡΥΜΑ ΕΞΟΧΕΣ ΕΛΛΗΝΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ","ΕΣΩΤΕΡΙΚΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.astynomia.gr","Shockwave Flash Embed/PHP/","Apache/","N/A","N/A","self hosted","N/A"
"ΙΔΡΥΜΑ Η ΠΑΙΔΙΚΗ ΣΤΕΓΗ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΡΟΝΟΙΑΣ","ΕΝΤΟΣ","","www.paidikesteges.gr","Shockwave Flash Embed/Frontpage Extensions/PHP/","Apache/Apache 2.2/","N/A","yes","Hetzner","N/A"
"ΙΔΡΥΜΑ ΑΓΩΓΗΣ ΑΝΗΛΙΚΩΝ ΑΡΡΕΝΩΝ Ν.ΙΩΝΙΑΣ ΒΟΛΟΥ","ΔΙΚΑΙΟΣΥΝΗΣ ΔΙΑΦΑΝΕΙΑΣ ΚΑΙ ΑΝΘΡΩΠΙΝΩΝ ΔΙΚΑΙΩΜΑΤΩΝ ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΙΔΡΥΜΑ ΓΙΑΝΝΗ ΤΣΑΡΟΥΧΗ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","tsarouchis.gr","Shockwave Flash Embed/ASP.NET/","IIS 6/IIS/IIS 10/","N/A","yes","A2 Hosting","N/A"
"ΙΔΡΥΜΑ ΕΥΑΓΓΕΛΟΥ ΑΝΑΣΤ. ΑΒΕΡΩΦ - ΤΟΣΙΤΣΑ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","noWebsite","","","","","",""
"ΙΔΡΥΜΑ ΘΕΜΙΣΤΟΚΛΗ ΚΑΙ ΔΗΜΗΤΡΗ ΤΣΑΤΣΟΥ - ΚΕΝΤΡΟ ΕΥΡΩΠΑΪΚΟΥ ΣΥΝΤΑΓΜΑΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΕΞΩΤΕΡΙΚΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","","ΕΚΤΟΣ","ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΥΠΟΙΚ ΥΠΔΙΔΑΔ ΥΠΠΟΛ&ΑΘ & ΥΠΠΕ&Θ","https://www.cecl2.gr","PHP/","Apache/","N/A","yes","Hetzner","N/A"
"ΙΔΡΥΜΑ ΙΑΤΡΟΒΙΟΛΟΓΙΚΩΝ ΕΡΕΥΝΩΝ ΑΚΑΔΗΜΙΑΣ ΑΘΗΝΩΝ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","www.bioacademy.gr","PHP/","Apache/","yes","N/A","self hosted","N/A"
"ΙΔΡΥΜΑ ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ","ΕΡΓΑΣΙΑΣ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","","ΕΚΤΟΣ","","www.ypakp.gr","Adobe Dreamweaver/Frontpage Extensions/","Apache/nginx 1.4/nginx/nginx 1.8/","N/A","N/A","HostGator","N/A"
"ΙΔΡΥΜΑ ΚΡΑΤΙΚΩΝ ΥΠΟΤΡΟΦΙΩΝ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΑΥΤΟΤΕΛΕΙΣ ΔΗΜΟΣΙΕΣ ΥΠΗΡΕΣΙΕΣ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","https://www.iky.gr","PHP/Java Servlet/","Apache/Apache Tomcat Coyote/JBoss/","yes","yes","Dada","Copyright Year 2017"
"ΙΔΡΥΜΑ ΜΕΛΕΤΩΝ ΧΕΡΣΟΝΗΣΟΥ ΤΟΥ ΑΙΜΟΥ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","https://www.imxa.gr","Microsoft Frontpage/Engintron/","Apache/nginx/","N/A","yes","Hetzner","N/A"
"ΙΔΡΥΜΑ ΜΟΥΣΕΙΟ ΚΡΗΤΙΚΗΣ ΕΘΝΟΛΟΓΙΑΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","www.cretanethnologymuseum.gr","","nginx/","N/A","yes","Hetzner","N/A"
"ΙΔΡΥΜΑ ΜΟΥΣΕΙΟΥ ΜΑΚΕΔΟΝΙΚΟΥ ΑΓΩΝΑ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","www.imma.edu.gr","","","N/A","yes","Cloudflare Hosting","N/A"
"ΙΔΡΥΜΑ ΝΕΟΛΑΙΑΣ ΚΑΙ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","https://www.inedivim.gr","PHP/","Apache 2.2/Apache/Apache 2.4/","yes","yes","Dedicated Hosting","Copyright Year 2016"
"ΙΔΡΥΜΑ ΠΑΝΑΓΙΑ ΣΟΥΜΕΛΑ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","https://www.panagiasoumela.gr","Google Web Toolkit/PHP/","Apache/nginx/","yes","yes","Hetzner","Copyright Year 2014"
"ΙΔΡΥΜΑ ΡΙΖΑΡΕΙΟΥ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΣΧΟΛΗΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","https://www.rizarios.gr","PHP/","nginx/Apache 2.4/Apache/","N/A","yes","Liquid Web","Copyright Year 2009"
"ΙΔΡΥΜΑ ΤΕΧΝΟΛΟΓΙΑΣ ΚΑΙ ΕΡΕΥΝΑΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ","ΕΝΤΟΣ","","https://www.forth.gr","DAV/PHP/Perl/","Apache/Apache 2.4/","N/A","yes","Dedicated Hosting","Copyright Year 2007"
"ΙΕΡΑ ΑΡΧΙΕΠΙΣΚΟΠΗ ΑΘΗΝΩΝ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","iaath.gr","PHP/Enfold/DAV/","Apache 2.2/Apache/","yes","yes","Dedicated Hosting","N/A"
"ΙΕΡΑ ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","www.iak.gr","PHP/","Apache/nginx/","N/A","yes","Hetzner","N/A"
"ΙΕΡΑ ΕΠΑΡΧΙΑΚΗ ΣΥΝΟΔΟΣ ΕΚΚΛΗΣΙΑΣ ΚΡΗΤΗΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","ekklisiakritis.com","PHP/","Apache/nginx/Citrix NetScaler/","yes","yes","Cloudflare Hosting","N/A"
"ΙΕΡΑ ΣΥΝΟΔΟΣ ΤΗΣ ΕΛΛΑΔΟΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","www.ecclesia.gr","Shockwave Flash Embed/ASP.NET/","Apache/IIS/IIS 6/IIS 8/","N/A","N/A","Hetzner","N/A"
"ΙΕΡΕΣ ΜΗΤΡΟΠΟΛΕΙΣ ΤΟΥ ΚΡΑΤΟΥΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΚΤΟΣ","","www.ecclesia.gr","Shockwave Flash Embed/ASP.NET/","Apache/IIS/IIS 6/IIS 8/","N/A","N/A","Hetzner","N/A"
"ΙΕΚ ΑΝΑΒΥΣΣΟΥ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΙΕΚ ΓΑΛΑΞΙΔΙΟΥ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΙΕΚ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ ΚΟΚΚΙΝΙ ΧΑΝΙ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΙΕΚ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","iek-alexandr.evr.sch.gr","","Apache/","N/A","N/A","self hosted","N/A"
"ΙΕΚ ΚΕΡΚΥΡΑΣ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","https://blogs.sch.gr","PHP/","Apache/","yes","N/A","self hosted","N/A"
"ΙΕΚ ΘΕΣΣΑΛΟΝΙΚΗΣ ΠΕΡΑΙΑ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΙΕΚ ΠΕΛΟΠΟΝΝΗΣΟΥ ΑΡΓΟΣ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","iek-argol.arg.sch.gr/","Iconic One/PHP/","Apache/","N/A","N/A","self hosted","N/A"
"ΙΕΚ ΡΟΔΟΥ","ΤΟΥΡΙΣΜΟΥ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","iek-rodou.dod.sch.gr","ASP.NET/","IIS/IIS 7/","N/A","N/A","self hosted","N/A"
"ΙΝΣΤΙΤΟΥΤΟ ΑΙΓΑΙΟΥ ΤΟΥ ΔΙΚΑΙΟΥ ΤΗΣ ΘΑΛΑΣΣΑΣ ΚΑΙ ΤΟΥ ΝΑΥΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΔΙΚΑΙΟΣΥΝΗΣ ΔΙΑΦΑΝΕΙΑΣ ΚΑΙ ΑΝΘΡΩΠΙΝΩΝ ΔΙΚΑΙΩΜΑΤΩΝ ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://dsrnet.gr/","PHP/","nginx/nginx 1.2/","yes","yes","Linode","N/A"
"ΙΝΣΤΙΤΟΥΤΟ ΓΕΩΛΟΓΙΚΩΝ ΚΑΙ ΜΕΤΑΛΛΕΥΤΙΚΩΝ ΕΡΕΥΝΩΝ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ","ΕΝΤΟΣ","","www.igme.gr","PHP/","Apache/","yes","N/A","Dedicated Hosting","Copyright Year 2015"
"ΙΝΣΤΙΤΟΥΤΟ ΓΕΩΠΟΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ","ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://ige.gr","PHP/Python 2.7/Python/","Apache 2.2/Apache/LiteSpeed/Apache 2.4/","yes","yes","Hetzner","N/A"
